speaker,text,label
perso 2,tout le monde dormait,anger
perso 2,la plus grande se reveille toute seule  elle se débrouille elle prend le bus  ,anger
perso 2,euh et pour la fille de neuf ans et de trois ans c' est le mari qui les prépare avant d' aller travailler ,joy
perso 2,euh non ça ça empire ,anger
perso 2,on a beaucoup de train gris,sadness
perso 2,par rapport à l' époque,fear
perso 2, ou on avait des trains à deux étages,anger
perso 2,et avec ces trains euh l'hiver euh soit on a pas du tout de chauffage,love
perso 2,on on gèle ,anger
perso 2,ou on a trop de chauffage,anger
perso 2,et puis on est très (?),joy
perso 2,ou c'est la ligne 14 ou la ligne a   ou desfois le bus ,anger
perso 2,on change un peu,fear
perso 2,le bus c'est plus agréable aussi ,love
perso 2,mais on met un peu plus de temps quand même,joy
perso 2,dans une vie c'est quand meme une perte de temps ,sadness
perso 2, tous les jours,anger
perso 2,mais oui ça vaut le coups quand même parce que j' ai toujours vécu à la campagne,joy
perso 2,j'ai pas envie de changer,anger
perso 2,on est deux ouvrières à habiter très loin ,anger
perso 2,donc on préfère arriver de bonne heure le matin pour repartir euh très tôt le soir ,joy
perso 2,pour euh s' occuper des enfants le repas le bain et et après au dodo voilà ,joy
perso 3,bah oui il y a tellement de projets qu' on a la tête qui qui tourne ,joy
perso 3,monsieur Braquezec vous êtes président de la Plaine Commune  ,anger
perso 3,l' intercommunalité autour de Saint-Denis ,anger
perso 3,alors sur les transports il crée un grand mythe autour de Paris ,joy
perso 3,mais il  prolonge les lignes déjà existantes ,joy
perso 3,il veut réfléchir la tarification mais en même temps réfléchir à l' organisation,anger
perso 3, est ce que il y a pas trop de choses en même temps ,joy
perso 3,et est ce qu' il manque un peu une priorité ,joy
perso 3,on fera pas tout en même temps,anger
perso 3,on dirait qu'il manque une priorité ,sadness
perso 3,parce que à un moment il faut dire ,anger
perso 3,c'est ça qu'on commence en premier ,joy
perso 4,je ne sais pas,fear
perso 4,ça dépendra des moyens qu'on se donnera les uns et les autres ,joy
perso 4, et on attend euh l' attend ,joy
perso 4,on n' attend pas d' ailleurs on on espère que l' état euh jouera son rôle ,joy
perso 4,dans dans ce domaine et puis aussi un certain nombre de de ,anger
perso 4,partenaires privés,anger
perso 4,parce que je ne vois pas comment on pourrait financer 35 milliards,joy
perso 4,sans que euh il y ai des partenaires des partenaires privés ,anger
perso 4, mais je ne pense pas que ça soit euh quelque chose qui soit vécue comme euh ,sadness
perso 4,négatif au niveau des populations parce que euh ,sadness
perso 4,il s' est engagé sur les dix ans qui viennent ,joy
perso 4,on a véritablement besoins de de répondre à des,love
perso 4,des attentes de la population ,fear
perso 4,je pense qu'on ,love
perso 4,je pense qu'on ne peut pas hiérarchiser ,sadness
perso 4,je pense qu'on aura besoins de mener de front l'ensemble des des projets,love
perso 4,parce que il y a des projets de désenclavement,fear
perso 4,euh qui sont importants et et des projets par exemple ,joy
perso 4,de d' amélioration je pense à la ligne 13 du métro ,joy
perso 4,je pense à la gare du rer b,love
perso 4, je pense à toutes ces lignes qui sont très saturées ,sadness
perso 4,et d' un autre côté on a aussi besoin de lier des des ,love
perso 4,des liaisons directes entre La Defense et Roissy ,fear
perso 4,on vient par exemple Pleyel ,fear
perso 4,et pour nous quelque chose d' important pour le développement économique dans le secteur ,joy
perso 5,bonjour,joy
perso 5,oui surtout surtout la ligne quatorze effectivement ,joy
perso 5,je crois qu' hier le président de la République ,joy
perso 5,a mis tout le monde d' accord  ,joy
perso 5,un projet ambitieux avec surtout aussi une dead ligne c' est à dire 10 ans,joy
perso 5,pour réaliser,joy
perso 5,cet ambitieux projet,joy
perso 5,à la fois en matière de transport on sait que c' est la priorité,joy
perso 5,en matière de logements ,anger
perso 5,mais aussi d' activité économique ,joy
perso 5, j' ai retenu en particulier sa volonté d' aller jusqu' au Havre ,joy
perso 5,et de crée ainsi de nouvelles synergies,joy
perso 5,donc vous vous en doutez nous sommes vraiment très satisfait,joy
perso 5,de voir cette proposition du président ,anger
perso 5,propositions d' ailleurs de concertation et de travail ,joy
perso 5,avec tous les Élus il l' a bien précisé  ,joy
perso 5,que ce soit des majorités et des oppositions ,anger
perso 5,pour à la fois conclure un accord avant le début de l' été ,joy
perso 5,et ensuite au travers d' une loi mettre en place ce projet,joy
perso 5,vous savez j' ai l' impression qu' aujourd'hui ,joy
perso 5,que le président a répondu à l' attente des franciliens ,joy
perso 5,en particulier en matière de transport ,anger
perso 5,quand on entend euh on a entendu il y a il y a quelques instants ,joy
perso 5,le témoignage de cette femme qui se rendait à son travail ,anger
